Model,Origin,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model_Year,cyl4,org,when,Mfg
chevrolet chevelle malibu           ,USA    ,18,8,307,130,3504,12,70,Other,USA    ,Early,chevrolet    
buick skylark 320                   ,USA    ,15,8,350,165,3693,11.5,70,Other,USA    ,Early,buick        
plymouth satellite                  ,USA    ,18,8,318,150,3436,11,70,Other,USA    ,Early,plymouth     
amc rebel sst                       ,USA    ,16,8,304,150,3433,12,70,Other,USA    ,Early,amc          
ford torino                         ,USA    ,17,8,302,140,3449,10.5,70,Other,USA    ,Early,ford         
ford galaxie 500                    ,USA    ,15,8,429,198,4341,10,70,Other,USA    ,Early,ford         
chevrolet impala                    ,USA    ,14,8,454,220,4354,9,70,Other,USA    ,Early,chevrolet    
plymouth fury iii                   ,USA    ,14,8,440,215,4312,8.5,70,Other,USA    ,Early,plymouth     
pontiac catalina                    ,USA    ,14,8,455,225,4425,10,70,Other,USA    ,Early,pontiac      
amc ambassador dpl                  ,USA    ,15,8,390,190,3850,8.5,70,Other,USA    ,Early,amc          
citroen ds-21 pallas                ,France ,NaN,4,133,115,3090,17.5,70,Four ,Europe ,Early,citroen      
chevrolet chevelle concours (sw)    ,USA    ,NaN,8,350,165,4142,11.5,70,Other,USA    ,Early,chevrolet    
ford torino (sw)                    ,USA    ,NaN,8,351,153,4034,11,70,Other,USA    ,Early,ford         
plymouth satellite (sw)             ,USA    ,NaN,8,383,175,4166,10.5,70,Other,USA    ,Early,plymouth     
amc rebel sst (sw)                  ,USA    ,NaN,8,360,175,3850,11,70,Other,USA    ,Early,amc          
dodge challenger se                 ,USA    ,15,8,383,170,3563,10,70,Other,USA    ,Early,dodge        
plymouth 'cuda 340                  ,USA    ,14,8,340,160,3609,8,70,Other,USA    ,Early,plymouth     
ford mustang boss 302               ,USA    ,NaN,8,302,140,3353,8,70,Other,USA    ,Early,ford         
chevrolet monte carlo               ,USA    ,15,8,400,150,3761,9.5,70,Other,USA    ,Early,chevrolet    
buick estate wagon (sw)             ,USA    ,14,8,455,225,3086,10,70,Other,USA    ,Early,buick        
toyota corona mark ii               ,Japan  ,24,4,113,95,2372,15,70,Four ,Japan  ,Early,toyota       
plymouth duster                     ,USA    ,22,6,198,95,2833,15.5,70,Other,USA    ,Early,plymouth     
amc hornet                          ,USA    ,18,6,199,97,2774,15.5,70,Other,USA    ,Early,amc          
ford maverick                       ,USA    ,21,6,200,85,2587,16,70,Other,USA    ,Early,ford         
datsun pl510                        ,Japan  ,27,4,97,88,2130,14.5,70,Four ,Japan  ,Early,datsun       
volkswagen 1131 deluxe sedan        ,Germany,26,4,97,46,1835,20.5,70,Four ,Europe ,Early,volkswagen   
peugeot 504                         ,France ,25,4,110,87,2672,17.5,70,Four ,Europe ,Early,peugeot      
audi 100 ls                         ,Germany,24,4,107,90,2430,14.5,70,Four ,Europe ,Early,audi         
saab 99e                            ,Sweden ,25,4,104,95,2375,17.5,70,Four ,Europe ,Early,saab         
bmw 2002                            ,Germany,26,4,121,113,2234,12.5,70,Four ,Europe ,Early,bmw          
amc gremlin                         ,USA    ,21,6,199,90,2648,15,70,Other,USA    ,Early,amc          
ford f250                           ,USA    ,10,8,360,215,4615,14,70,Other,USA    ,Early,ford         
chevrolet c20                       ,USA    ,10,8,307,200,4376,15,70,Other,USA    ,Early,chevrolet    
dodge d200                          ,USA    ,11,8,318,210,4382,13.5,70,Other,USA    ,Early,dodge        
ih 1200d                            ,USA    ,9,8,304,193,4732,18.5,70,Other,USA    ,Early,ih           
datsun pl510                        ,Japan  ,27,4,97,88,2130,14.5,71,Four ,Japan  ,Early,datsun       
chevrolet vega 2300                 ,USA    ,28,4,140,90,2264,15.5,71,Four ,USA    ,Early,chevrolet    
toyota corona                       ,Japan  ,25,4,113,95,2228,14,71,Four ,Japan  ,Early,toyota       
